paper_ID,tabfig,model_type,year,response,resp_type_generalized,exp_num_var,explanatory,exp_isNA,exp_isTIME,exp_isSCALE,exp_isOTHER,exp_SOYPRED,exp_FUNGUS,exp_plantnutrition,exp_leaf_percK,exp_leaf_perc_N,exp_precipitation,exp_growingdegreedays,exp_functdiversity,exp_aspect,exp_intercept,exp_isSBA,exp_captured_SBA,exp_SBA_abundance,exp_isPRED,exp_isPREDTYPE,exp_pred_migration,exp_pred_withheld,exp_pred_richness,exp_pred_abundance,exp_predtype_lacewings,exp_predtype_spiders,exp_coccinellidae,exp_parasitoids,exp_isFIELD,exp_fieldID,exp_fieldperimeter,exp_fieldarea,exp_fieldwidth,exp_fieldtillage_notill,exp_isBORDERTYPE,exp_border,exp_landscape_complexity,exp_border_buckthorn,exp_isBORDERTYPE_crops,exp_bordertype_alfalfa,exp_bordertype_corn,exp_bordertype_canola,exp_bordertype_cereals,exp_bordertype_soybean,exp_bordertype_richness,exp_bordertype_generalizedcrops,exp_isBORDERTYPE_grass,exp_bordertype_grass,exp_bordertype_prairie,exp_bordertype_pasture,exp_isBORDERTYPE_forest,exp_bordertype_forestdistance,exp_bordertype_forestproportion,exp_bordertype_forestdiversity,value,value_type,value_isBEST,value_best_type,value_best_num_var,p_val,signif,delta_i,w_i,likelihood,value_R2_type,value_R2,confidence_interv,spatial_scale,notes,ParCorrDep
Sama2018,T3,multiple linear regression,"2013, 2014",brown lacewings,SBA predator abundance,1,landcover type (forage grass),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,1,,,,,,0.45,model coefficient,,p-val,1,sig,1,,,,NA,NA,,0.25,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",lady beetles,SBA predator abundance,1,landcover type (other crops),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,1,,,,,,,,0.39,model coefficient,,p-val,1,sig,1,,,,NA,NA,,1.5,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",hover flies,SBA predator abundance,1,landcover type (other crops),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,1,,,,,,,,NA,model coefficient,,p-val,1,nonsig,,,,,NA,NA,,all,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",damsel bugs,SBA predator abundance,1,landcover type (other crops),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,1,,,,,,,,NA,model coefficient,,p-val,1,nonsig,,,,,NA,NA,,all,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",green lacewings,SBA predator abundance,1,landcover type (other crops),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,1,,,,,,,,NA,model coefficient,,p-val,1,nonsig,,,,,NA,NA,,all,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",brown lacewings,SBA predator abundance,1,landcover type (other crops),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,1,,,,,,,,NA,model coefficient,,p-val,1,nonsig,,,,,NA,NA,,all,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",lady beetles,SBA predator abundance,1,landcover type (pasture),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,,,,,NA,model coefficient,,p-val,1,nonsig,,,,,NA,NA,,all,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",hover flies,SBA predator abundance,1,landcover type (pasture),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,,,,,-0.42,model coefficient,,p-val,1,sig,1,,,,NA,NA,,1.5,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",hover flies,SBA predator abundance,1,landcover type (pasture),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,,,,,-0.4,model coefficient,,p-val,1,sig,1,,,,NA,NA,,2,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",damsel bugs,SBA predator abundance,1,landcover type (pasture),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,,,,,NA,model coefficient,,p-val,1,nonsig,,,,,NA,NA,,all,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",green lacewings,SBA predator abundance,1,landcover type (pasture),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,,,,,NA,model coefficient,,p-val,1,nonsig,,,,,NA,NA,,all,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",brown lacewings,SBA predator abundance,1,landcover type (pasture),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,,,,,NA,model coefficient,,p-val,1,nonsig,,,,,NA,NA,,all,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",lady beetles,SBA predator abundance,1,landcover type (pirarian vegetation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,1,,,,,,NA,model coefficient,,p-val,1,nonsig,,,,,NA,NA,,all,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",green lacewings,SBA predator abundance,1,landcover type (pirarian vegetation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,1,,,,,,-0.44,model coefficient,,p-val,1,sig,1,,,,NA,NA,,1,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",green lacewings,SBA predator abundance,1,landcover type (pirarian vegetation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,1,,,,,,-0.42,model coefficient,,p-val,1,sig,1,,,,NA,NA,,1.5,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",green lacewings,SBA predator abundance,1,landcover type (pirarian vegetation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,1,,,,,,-0.4,model coefficient,,p-val,1,sig,1,,,,NA,NA,,2,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",hover flies,SBA predator abundance,1,landcover type (soybean),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,0.45,model coefficient,,p-val,1,sig,1,,,,NA,NA,,2,partial correlation coefficients,
Sama2018,T3,multiple linear regression,"2013, 2014",damsel bugs,SBA predator abundance,1,landcover type (soybean),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,NA,model coefficient,,p-val,1,nonsig,,,,,NA,NA,,all,partial correlation coefficients,
