"","ID","paper_ID","tabfig","model_type","year","response","resp_type_generalized","explanatory","value","value_type","value_best_type","p_val","delta_i","w_i","likelihood","value_R2_type","value_R2","exp_num_var","exp_isNA","exp_isTIME","exp_isSCALE","exp_isOTHER","exp_SOYPRED","exp_FUNGUS","exp_plantnutrition","exp_leaf_percK","exp_leaf_perc_N","exp_precipitation","exp_growingdegreedays","exp_functdiversity","exp_aspect","exp_intercept","exp_isSBA","exp_captured_SBA","exp_SBA_abundance","exp_isPRED","exp_isPREDTYPE","exp_pred_migration","exp_pred_withheld","exp_pred_richness","exp_pred_abundance","exp_predtype_lacewings","exp_predtype_spiders","exp_coccinellidae","exp_parasitoids","exp_isFIELD","exp_fieldID","exp_fieldperimeter","exp_fieldarea","exp_fieldwidth","exp_fieldtillage_notill","exp_isBORDERTYPE","exp_border","exp_landscape_complexity","exp_border_buckthorn","exp_isBORDERTYPE_crops","exp_bordertype_alfalfa","exp_bordertype_corn","exp_bordertype_canola","exp_bordertype_cereals","exp_bordertype_soybean","exp_bordertype_richness","exp_bordertype_generalizedcrops","exp_isBORDERTYPE_grass","exp_bordertype_grass","exp_bordertype_prairie","exp_bordertype_pasture","exp_isBORDERTYPE_forest","exp_bordertype_forestdistance","exp_bordertype_forestproportion","exp_bordertype_forestdiversity","value_isBEST","value_best_num_var","signif"
"11","11","Sama2019","T2","linear mixed-effects","2013, 2014","hover flies","SBA predator abundance","border x migration","5.67","F-value","p-val","0.002","<2","NA","NA","NA","NA",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
"12","12","Sama2019","T2","linear mixed-effects","2013, 2014","hover flies","SBA predator abundance","border x year","NA","F-value","p-val","nonsig","<2","NA","NA","NA","NA",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"13","13","Sama2019","T2","linear mixed-effects","2013, 2014","hover flies","SBA predator abundance","year x migration","NA","F-value","p-val","nonsig","<2","NA","NA","NA","NA",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"14","14","Sama2019","T2","linear mixed-effects","2013, 2014","hover flies","SBA predator abundance","border x year x migration","NA","F-value","p-val","nonsig","<2","NA","NA","NA","NA",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"15","15","Sama2019","T2","linear mixed-effects","2013, 2014","green lacewings","SBA predator abundance","border","0.35","F-value","p-val","0.28","<2","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"16","16","Sama2019","T2","linear mixed-effects","2013, 2014","green lacewings","SBA predator abundance","year","0.36","F-value","p-val","0.254","<2","NA","NA","NA","NA",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"17","17","Sama2019","T2","linear mixed-effects","2013, 2014","green lacewings","SBA predator abundance","migration","0.01","F-value","p-val","0.943","<2","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"18","18","Sama2019","T2","linear mixed-effects","2013, 2014","green lacewings","SBA predator abundance","border x migration","2.88","F-value","p-val","0.043","<2","NA","NA","NA","NA",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
"19","19","Sama2019","T2","linear mixed-effects","2013, 2014","green lacewings","SBA predator abundance","border x year","NA","F-value","p-val","nonsig","<2","NA","NA","NA","NA",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"20","20","Sama2019","T2","linear mixed-effects","2013, 2014","green lacewings","SBA predator abundance","year x migration","NA","F-value","p-val","nonsig","<2","NA","NA","NA","NA",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"21","21","Sama2019","T2","linear mixed-effects","2013, 2014","green lacewings","SBA predator abundance","border x year x migration","NA","F-value","p-val","nonsig","<2","NA","NA","NA","NA",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"22","22","Sama2019","T2","linear mixed-effects","2013, 2014","lady beetles","SBA predator abundance","border","7.76","F-value","p-val","0.0001","<2","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
"23","23","Sama2019","T2","linear mixed-effects","2013, 2014","lady beetles","SBA predator abundance","year","11.19","F-value","p-val","0.003","<2","NA","NA","NA","NA",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
"24","24","Sama2019","T2","linear mixed-effects","2013, 2014","lady beetles","SBA predator abundance","migration","6.82","F-value","p-val","0.014","<2","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
"25","25","Sama2019","T2","linear mixed-effects","2013, 2014","lady beetles","SBA predator abundance","border x migration","NA","F-value","p-val","nonsig","<2","NA","NA","NA","NA",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"26","26","Sama2019","T2","linear mixed-effects","2013, 2014","lady beetles","SBA predator abundance","border x year","6.59","F-value","p-val","0.002","<2","NA","NA","NA","NA",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
"27","27","Sama2019","T2","linear mixed-effects","2013, 2014","lady beetles","SBA predator abundance","year x migration","NA","F-value","p-val","nonsig","<2","NA","NA","NA","NA",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"28","28","Sama2019","T2","linear mixed-effects","2013, 2014","lady beetles","SBA predator abundance","border x year x migration","NA","F-value","p-val","nonsig","<2","NA","NA","NA","NA",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"29","29","Sama2018","T1","ANOVA","2013, 2014","final aphid populations","SBA abundance","field","11.89","F-value","p-val","<0.0001","<2","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
"30","30","Sama2018","T1","ANOVA","2013, 2014","final aphid populations","SBA abundance","predator manipulation","403.98","F-value","p-val","<0.0001","<2","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
"31","31","Sama2018","T1","ANOVA","2013, 2014","final aphid populations","SBA abundance","field x predator manipulation","3.03","F-value","p-val","<0.0001","<2","NA","NA","NA","NA",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
"32","32","Sama2018","T1","ANOVA","2013, 2014","final aphid populations","SBA abundance","between subjects","NA","NA","p-val","NA","<2","NA","NA","NA","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"33","33","Sama2018","T1","ANOVA","2013, 2014","final aphid populations","SBA abundance","week","681.72","F-value","p-val","<0.0001","<2","NA","NA","NA","NA",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
"34","34","Sama2018","T1","ANOVA","2013, 2014","final aphid populations","SBA abundance","field x week","7.81","F-value","p-val","<0.0001","<2","NA","NA","NA","NA",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
"35","35","Sama2018","T1","ANOVA","2013, 2014","final aphid populations","SBA abundance","predator manipulation x week","26.24","F-value","p-val","<0.0001","<2","NA","NA","NA","NA",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
"36","36","Sama2018","T1","ANOVA","2013, 2014","final aphid populations","SBA abundance","field x predator manipulation x week","1.52","F-value","p-val","0.057","<2","NA","NA","NA","NA",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"37","37","Sama2018","T1","ANOVA","2013, 2014","final aphid populations","SBA abundance","within subjects","NA","NA","p-val","NA","<2","NA","NA","NA","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"38","38","Sama2018","T3","multiple linear regression","2013, 2014","lady beetles","SBA predator abundance","landcover type (alfalfa)","NA","model coefficient","p-val","nonsig","NA","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"39","39","Sama2018","T3","multiple linear regression","2013, 2014","hover flies","SBA predator abundance","landcover type (alfalfa)","-0.39","model coefficient","p-val","sig","NA","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"40","40","Sama2018","T3","multiple linear regression","2013, 2014","hover flies","SBA predator abundance","landcover type (alfalfa)","-0.42","model coefficient","p-val","sig","NA","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"41","41","Sama2018","T3","multiple linear regression","2013, 2014","damsel bugs","SBA predator abundance","landcover type (alfalfa)","NA","model coefficient","p-val","nonsig","NA","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"42","42","Sama2018","T3","multiple linear regression","2013, 2014","green lacewings","SBA predator abundance","landcover type (alfalfa)","NA","model coefficient","p-val","nonsig","NA","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"43","43","Sama2018","T3","multiple linear regression","2013, 2014","brown lacewings","SBA predator abundance","landcover type (alfalfa)","NA","model coefficient","p-val","nonsig","NA","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"44","44","Sama2018","T3","multiple linear regression","2013, 2014","lady beetles","SBA predator abundance","landcover type (canola)","NA","model coefficient","p-val","nonsig","NA","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"45","45","Sama2018","T3","multiple linear regression","2013, 2014","hover flies","SBA predator abundance","landcover type (canola)","0.53","model coefficient","p-val","sig","NA","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"46","46","Sama2018","T3","multiple linear regression","2013, 2014","hover flies","SBA predator abundance","landcover type (canola)","0.51","model coefficient","p-val","sig","NA","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"47","47","Sama2018","T3","multiple linear regression","2013, 2014","damsel bugs","SBA predator abundance","landcover type (canola)","NA","model coefficient","p-val","nonsig","NA","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"48","48","Sama2018","T3","multiple linear regression","2013, 2014","green lacewings","SBA predator abundance","landcover type (canola)","NA","model coefficient","p-val","nonsig","NA","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"49","49","Sama2018","T3","multiple linear regression","2013, 2014","brown lacewings","SBA predator abundance","landcover type (canola)","0.4","model coefficient","p-val","sig","NA","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"50","50","Sama2018","T3","multiple linear regression","2013, 2014","lady beetles","SBA predator abundance","landcover type (cereals)","NA","model coefficient","p-val","nonsig","NA","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"51","51","Sama2018","T3","multiple linear regression","2013, 2014","hover flies","SBA predator abundance","landcover type (cereals)","NA","model coefficient","p-val","nonsig","NA","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"52","52","Sama2018","T3","multiple linear regression","2013, 2014","damsel bugs","SBA predator abundance","landcover type (cereals)","0.46","model coefficient","p-val","sig","NA","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"53","53","Sama2018","T3","multiple linear regression","2013, 2014","damsel bugs","SBA predator abundance","landcover type (cereals)","0.51","model coefficient","p-val","sig","NA","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"54","54","Sama2018","T3","multiple linear regression","2013, 2014","green lacewings","SBA predator abundance","landcover type (cereals)","0.45","model coefficient","p-val","sig","NA","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"55","55","Sama2018","T3","multiple linear regression","2013, 2014","green lacewings","SBA predator abundance","landcover type (cereals)","0.57","model coefficient","p-val","sig","NA","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"56","56","Sama2018","T3","multiple linear regression","2013, 2014","green lacewings","SBA predator abundance","landcover type (cereals)","0.39","model coefficient","p-val","sig","NA","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"57","57","Sama2018","T3","multiple linear regression","2013, 2014","brown lacewings","SBA predator abundance","landcover type (cereals)","NA","model coefficient","p-val","nonsig","NA","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"58","58","Sama2018","T3","multiple linear regression","2013, 2014","lady beetles","SBA predator abundance","landcover type (field border grass)","NA","model coefficient","p-val","nonsig","NA","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
"59","59","Sama2018","T3","multiple linear regression","2013, 2014","hover flies","SBA predator abundance","landcover type (field border grass)","0.41","model coefficient","p-val","sig","NA","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
"60","60","Sama2018","T3","multiple linear regression","2013, 2014","damsel bugs","SBA predator abundance","landcover type (field border grass)","NA","model coefficient","p-val","nonsig","NA","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
"61","61","Sama2018","T3","multiple linear regression","2013, 2014","green lacewings","SBA predator abundance","landcover type (field border grass)","NA","model coefficient","p-val","nonsig","NA","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
"62","62","Sama2018","T3","multiple linear regression","2013, 2014","brown lacewings","SBA predator abundance","landcover type (field border grass)","0.64","model coefficient","p-val","sig","NA","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
"63","63","Sama2018","T3","multiple linear regression","2013, 2014","brown lacewings","SBA predator abundance","landcover type (field border grass)","0.48","model coefficient","p-val","sig","NA","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
"64","64","Sama2018","T3","multiple linear regression","2013, 2014","lady beetles","SBA predator abundance","landcover type (forage grass)","NA","model coefficient","p-val","nonsig","NA","NA","NA","NA","NA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
